currency code,currency name
LOOM,Loom Token
LRC,Loopring
LUN,Lunyr
LKK,Lykke
XMG,Magi
MAID,MaidSafeCoin
MKR,Maker
MAX,Maxcoin
MZC,Mazacoin
MCAP,MCAP
MED,MediBlock
MTN,MedToken
MEC,Megacoin
MLN,Melon
MEME,Memetic
MER,Mercury
MGC,MergeCoin
XMT,Metal
ETP,Metaverse Entropy
MNE,Minereum
MRT,Miners Reward
MINEX,Minex
MNX,MinexCoin
MINT,Mintcoin
MITH,Mithril
MGO,MobileGo
MOD,Modum
MDA,Moeda Loyalty
MCO,Monaco
MONA,MonaCoin
XMR,Monero
MUE,MonetaryUnit
MTH,Monetha
MSP,Mothership
MUSIC,Musicoin
MYB,MyBit Token
XMY,Myriadcoin
MYST,Mysterium
NMC,Namecoin
NAMO,Namocoin
NANO,Nano
NAV,Nav Coin
NEBL,Neblio
NAS,Nebulas Token
XEM,NEM
NEO,NEO
NEOS,NeosCoin
NDC,NeverDie Coin
NXC,Nexium
NXS,Nexus
NET,Nimiq
NOBL,NobleCoin
NLC2,NoLimitCoin
NVC,Novacoin
NBT,NuBits
NCASH,Nucleus Vision
NULS,Nuls
NMR,Numeraire
NSR,NuShares
NXT,Nxt
OBITS,Obits
ODN,Obsidian
OCL,Oceanlab
ODEM,ODEM
OCN,Odyssey
OF,OFCOIN
OK,OKCash
OMG,OmiseGo
OMNI,Omni
ONT,Ontology
OAX,openANX
OPT,Opus
TRAC,OriginTrail
PRL,Oyster Pearl
PRG,Paragon Coin
PART,Particl
PASC,PascalCoin
PTOY,Patientory
PFR,Payfair
PBL,Pebbles
PPC,Peercoin
PPY,Peerplays
PTC,Pesetacoin
SOUL,Phantasma
PLR,Pillar
PINK,Pinkcoin
PIVX,PIVX
PLU,Pluton
POA,POA Network
POE,Poet
AI,POLY AI
PLBT,Polybius
POLY,Polymath
PPT,Populous
POSW,PoSW Coin
POT,PotCoin
POWR,Power Ledger
PBT,Primalbase Token
PST,Primas
XPM,Primecoin
PRO,Propy
NPXS,Pundi X
PURA,Pura
QASH,QASH
QLC,Qlink
QTUM,Qtum
QSP,Quantstamp
QAU,Quantum
QRL,Quantum Resistant
QRK,Quark
QTL,Quatloo
QWARK,Qwark
RADS,Radium
RDN,Raiden Network
RHOC,RChain
RRT,Recovery Right
RED,Redcoin
RDD,ReddCoin
RPX,Red Pulse
REC,Regalcoin
REQ,Request Network
R,Revain
XRL,Rialto
RIC,Riecoin
RCN,Ripio Credit
XRP,XRP
RBX,Ripto Bux
RISE,Rise
RVT,Rivetz
RLC,RLC Token
RLT,RouletteToken
RBIES,Rubies
RBY,RubyCoin
RUFF,Ruff
RUP,Rupee
SAFEX,SafeExchangeCoin
SALT,Salt
SLS,SaluS
SAN,Santiment Network
SEELE,Seele
SEQ,Sequence
SHIFT,SHIFT
SC,Siacoin
SIB,SIBCoin
SIGMA,SIGMAcoin
SIGT,Signatum
OST,Simple Token
SNGLS,SingularDTV
AGI,SingularityNET
SRN,Sirin Labs
SKIN,SkinCoin
SKY,Skycoin
SMART,SmartCash
SMT,SmartMesh
SLR,SolarCoin
SNM,SONM
SPC,SpaceChain
SPANK,SpankChain
XSPEC,Spectrecoin
SPHR,Sphere
XID,Sphere Identity
SPR,SpreadCoin
START,Startcoin
SNT,Status Network
XST,Stealthcoin
STEEM,Steem
SBD,Steem Dollars
XLM,Stellar
STK,STK Token
STQ,Storiqa
STORJ,Storj
SJCX,Storjcoin X
STORM,Storm
STX,Stox
STRAT,Stratis
SUB,Substratum
SNC,SunContract
SBTC,Super Bitcoin
UNITY,SuperNET
SWT,Swarm City
SWFTC,SwftCoin
SYNX,Syndicate
AMP,Synereo
SNRG,Synergy
SNX,Synthetix Network
SYS,SysCoin
TAAS,Taas
PAY,TenX
TRC,Terracoin
USDT,Tether
XTZ,Tezos
TCC,The ChampCoin
THETA,Theta Token
TNT,Tierion
TIME,Time
TNB,Time New
TOA,ToaCoin
TKN,TokenCard
TKS,Tokes
TKR,Trackr
TRCT,Tracto
TX,TransferCoin
TRIG,Triggers
TRX,Tronix
TRUE,TrueChain
TFL,TRUE Flip
TUSD,TrueUSD
TRST,Trustcoin
TRUST,TrustPlus
UBQ,Ubiq
ULA,Ulatech
UNB,UnbreakableCoin
UKG,UnikoinGold
UNY,Unity Ingot
UNO,Unobtanium
UP,UpToken
URO,Uro
UTK,UTrust
XVC,Vcash
VEN,VeChain
XVG,Verge
VRC,Vericoin
VERI,Veritaseum
VRM,Verium
VRS,Veros
VTC,Vertcoin
VIA,Viacoin
VIBE,Vibe
VIB,Viberate
VIVO,VIVO
VOISE,Voise
VOX,Voxels
VPN,VPNCoin
VSL,vSlice
VTR,vTorrent
WABI,WaBi
WGR,Wagerr
WTC,Walton
WAN,Wanchain
WAVES,Waves
WCT,Waves Community
WGO,WavesGo
WAX,Wax Token
WPR,WePower
XWC,WhiteCoin
WINGS,Wings
WDC,WorldCoin
XAUR,Xaurum
XBY,XtraBYtes
YEE,Yee
YOYOW,YOYOW
ZEC,Zcash
ZCC,ZcCoin
ZCL,Zclassic
XZC,ZCoin
ZCO,Zebi
ZEN,ZenCash
ZET,Zetacoin
ZLA,Zilla
ZIL,Zilliqa
XZR,ZrCoin
